"","date","newC","totalC","totalD"
"1",2020-02-25,1,1,0
"2",2020-02-26,0,1,0
"3",2020-02-27,0,1,0
"4",2020-02-28,1,2,0
"5",2020-02-29,0,2,0
"6",2020-03-01,0,2,0
"7",2020-03-02,0,2,0
"8",2020-03-03,0,2,0
"9",2020-03-04,1,3,0
"10",2020-03-05,4,7,0
"11",2020-03-06,7,14,0
"12",2020-03-07,9,19,0
"13",2020-03-08,6,25,0
"14",2020-03-09,0,25,0
"15",2020-03-10,9,34,0
"16",2020-03-11,19,53,0
"17",2020-03-12,36,89,0
"18",2020-03-13,16,105,0
"19",2020-03-14,46,141,0
"20",2020-03-15,90,224,0
"21",2020-03-16,127,278,0
"22",2020-03-17,54,332,1
"23",2020-03-18,192,514,4
"24",2020-03-19,134,639,7
"25",2020-03-20,333,972,11
"26",2020-03-21,232,1204,18
"27",2020-03-22,390,1594,25
"28",2020-03-23,359,1952,34
"29",2020-03-24,303,2255,47
"30",2020-03-25,307,2562,59
"31",2020-03-26,428,2990,77
"32",2020-03-27,487,3476,93
"33",2020-03-28,479,3955,115
"34",2020-03-29,358,4313,137
"35",2020-03-30,358,4663,166
"36",2020-03-31,1162,5824,202
"37",2020-04-01,1107,6931,244
"38",2020-04-02,1169,8100,304
"39",2020-04-03,1112,9212,365
"40",2020-04-04,1166,10378,444
"41",2020-04-05,1046,11424,497
"42",2020-04-06,838,12262,570
"43",2020-04-07,1821,14083,691
"44",2020-04-08,2175,16258,826
"45",2020-04-09,1939,18195,959
"46",2020-04-10,1760,19937,1073
"47",2020-04-11,1055,20992,1141
"48",2020-04-12,1430,22422,1235
